ModelId	Desc	AnimSetType	NoGunStdSpeed	ForwardStdSpeed	BackStdSpeed	LeftRightStdSpeed	LeftRightForwardStdSpeed	LeftRightBackStdSpeed	SlowStdSpeed	FastStdSpeed	IsUpperDepart	Sleep	ActionPrefix	Stand_0	NoGunStand	Hold_0	Ride_0	Idle_0	Idle_1	Idle_2	SlowMove	FastMove	NoGunRun	RunForward_0	RunBackward_0	RunLeft_0	RunRight_0	RunForwardLeft_0	RunForwardRight_0	RunBackwardLeft_0	RunBackwardRight_0	Reload_0	EquipWeapon	UnequipWeapon	Attack_0	Attack_1	Attack_2	Hurt_0	Dead_0	Dead_1	Dead_2	PostDead_0	PostDead_1	PostDead_2	JumpBegin	Jumping	JumpEnd	Born	GetUp_0	GetUp_1	HitHigh	SkillSection01	SkillSection02	SkillSection03	SkillSection04	SkillSection05	SkillSection06	SkillSection07	SkillSection08	SkillSection09	SkillSection10	SkillSection11	SkillSection12	SkillSection13	SkillSection14	SkillSection15	SkillSection16	SkillSection17	SkillSection18	SkillSection19	SkillSection20
#英雄																																																																							
1	剑士动作	1	6.375	6.375	4.5	5.333333333	5.333333333	5			FALSE		Swordman_	stand		stand	stand	stand	stand	stand	run	run		run	run	run	run	run	run	run	run		stand	stand	attack01	attack02	attack04	hurt	dead									Stand			stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand								
2	枪手动作	1	6.375	6.375	4.5	5.333333333	5.333333333	5			FALSE		Shooter_	Stand		Stand	Stand	Stand	Stand	Stand	Run	Run		Run	Run	Run	Run	Run	Run	Run	Run		Stand	Stand	Fire01	Fire02	Fire03	Stand	dead									Stand			stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand								
3	枪手动作	1	6.375	6.375	4.5	5.333333333	5.333333333	5			FALSE		QiangShou_	Stand		Stand	Stand	Stand	Stand	Stand	Run	Run		Run	Run	Run	Run	Run	Run	Run	Run		Stand	Stand	Fire01	Fire02	Fire03	Stand	dead									Stand			stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand								
4	新剑士动作	1	8.5	8.5	8.5	8.5	8.5	8.5			FALSE		jianshi_	stand_01		stand_01	stand_01	stand_01	stand_01	stand_01	run_01	run_01		run_01	run_01	run_01	run_01	run_01	run_01	run_01	run_01		stand	stand	attack01	attack02	attack04	hurt	hitdown_01									getup_01			stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand								
#小怪																																																																							
10001	鼠人	1	6.375	3.5	4.5	5.333333333	5.333333333	5	1.5	3.5	FALSE		ShuRen_	Stand		Stand	Stand	Stand	Stand	Stand	Walk	Run	Run	Run	Run	Run	Run	Run	Run	Run	Run		Stand	Stand	attack01			hurt	DeadFace_01									Stand			stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand								
10002	熊人	1	6.375	2.12	4.5	5.333333333	5.333333333	5	1	2.12	FALSE		XiongRen_	Stand		Stand	Stand	Stand	Stand	Stand	Walk	Run	Run	Run	Run	Run	Run	Run	Run	Run	Run		Stand	Stand	attack01			hurt	DeadFace_01									Stand			stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand								
10003	布鲁夫	1	6.375	3.5	4.5	5.333333333	5.333333333	5	1.12	3.45	FALSE		Bluelf01_	Stand		Stand	Stand	Idle_01	Idle_02	Idle_Sleep	Walk	Run	Run	Run	Run	Run	Run	Run	Run	Run	Run	Idle_SleepS	Stand	Stand	attack01			hurt	DeadFace_01									Stand			stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand								
10004	布鲁夫2	1	6.375	3.5	4.5	5.333333333	5.333333333	5	1.12	3.45	FALSE		Bluelf02_	Stand		Stand	Stand	Idle_01	Idle_02	Idle_Sleep	Walk	Run	Run	Run	Run	Run	Run	Run	Run	Run	Run	Idle_SleepS	Stand	Stand	attack01			hurt	DeadFace_01									Stand			stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand								
10005	布鲁夫boss	1	6.375	3.5	4.5	5.333333333	5.333333333	5	1.12	3.45	FALSE		Bluelf03_	Stand		Stand	Stand	Idle_01	Idle_01	Idle_01	Walk	Run	Run	Run	Run	Run	Run	Run	Run	Run	Run		Stand	Stand	attack01			hurt	DeadFace_01									Stand			stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand								
