Id	LinkId	CampId	Pos	RotAngle	IsEnable	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	31.56129 151.782 38.53477	90	FALSE	0																
20002	1	3	40 160 36	0	FALSE	0																
#1																						
20011	10011	2	37.43553 151.8297 42.6605	-95	FALSE	10002		1		12|13												
#2																						
20101	10012	2	43.39803 151.8297 45.25506	-90	FALSE	10002		1		12|13												
20102	10012	2	43.32275 151.8297 42.754	-80	FALSE	10002																
20103	10012	2	42.22529 151.8297 40.3357	-45	FALSE	10002		1		12|13												
#3																						
20201	10012	2	34.54853 151.8297 44.92708	100	FALSE	10002		1		12|13												
20202	10012	2	33.05555 151.8297 42.35294	90	FALSE	10002																
20203	10012	2	33.30384 151.8297 39.26176	70	FALSE	10002		1		12|13												
20204	10012	2	34.90322 151.8297 36.96619	45	FALSE	10002																
#4																						
20301	10012	2	41.61703 151.8297 46.69499	-90	FALSE	10002		1		12|13												
20302	10012	2	43.63981 151.8297 44.46135	-95	FALSE	10002		1		12|13												
20303	10012	2	44.29354 151.8297 41.5668	-90	FALSE	10002																
20304	10012	2	44.15697 151.8297 39.05475	-55	FALSE	10002		1		12|13												
20305	10012	2	34.59646 151.8297 44.721	-40	FALSE	10002																
20306	10012	2	33.06686 151.8297 41.78946	130	FALSE	10002		1		12|13												
20307	10012	2	35.01352 151.8297 38.93695	85	FALSE	10002																
